DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
81010,Ann Arbor Public Schools,790.7,26.2,25,33,26.55,,11,6.3,63.4,134.85,54.9,1125.71,36.8,50.75,76.05,156.5,43,54,6.3,,12.2,,,3.2
81020,Ypsilanti Community Schools,200.62,26,,5,,1,2.5,4.07,10.6,21.19,2.35,66.21,16.5,4,31.95,64.5,17.4,4.75,3,,,,,
81040,Chelsea School District,112.87,4,1,2.5,,,6.01,1,8.95,17.81,7.25,117.39,12,,11.32,46.6,7.1,2.6,2,,2.9,,,
81050,Dexter Community School District,164.6,0.8,4,6.09,7,,2,2,10.6,33.52,12.61,81.47,16.6,,16.4,47.74,9.6,,1,,5.1,,,2
81070,Lincoln Consolidated School District,175,6.5,2,5,2.5,,4,2.02,8.6,23.46,4.15,61.69,31.2,6.8,18.3,65.87,14.2,,1,,5,,,
81080,Manchester Community Schools,49.6,0.86,2,2,,2,1.02,1,4,10.03,,34.92,3.94,1,6.67,20.7,1.5,1,,,2.4,,,
81100,Milan Area Schools,95.6,17.05,1,5,,1,2,1,10.33,14.65,8.25,53.07,7.5,,9,46.65,3,,,,4,,,1
81120,Saline Area Schools,215.68,12.16,2.62,7.6,4,,8,1,15.18,36.67,10.49,89.26,22.52,2.52,27.34,86.53,9,,5.5,,1.34,,,3
81140,Whitmore Lake Public School District,48.77,7.3,,1.7,,1,2.17,1,4.38,7.61,0.5,22.91,3.18,,8.74,11.8,3.4,,2.2,,3.25,,,0.75
81901,Honey Creek Community School,16.11,0.5,,,,0.5,1.75,,0.75,1.78,0.13,2.57,,,0.96,4.42,0.73,,,,1,,,
81902,Central Academy,27.87,10.25,,,,,0.12,,2,3.75,2.9,6.8,2.2,,,,0.6,,,,,,,
81903,Washtenaw Technical Middle College,11.6,,,2,,,1,,0.05,2,0.95,,,,1,,,,,,,,,
81904,Ann Arbor Learning Community,17.65,4.95,,,,,0.1,,0.9,1.47,1.41,,,,1.28,,1.08,,,,,,,
81905,South Arbor Charter Academy,35.8,1.59,,,1,,4.01,,,2.78,,5.06,2,,0.6,1.82,1.15,0.44,,,,,,
81906,Fortis Academy,34,4.89,,,1,,4.76,,,2.33,,5,3,,0.8,3.96,1.4,,,,,,,
81908,Multicultural Academy,16.5,3,,,,,0,,2.5,1,4.05,5.98,1,,,,,,,,,,,
81909,Arbor Preparatory High School,20.45,0.5,0.75,,,,2.16,,,2,0.4,0.42,2.4,,0.2,0.5,0.52,,,,0.2,,,
81910,East Arbor Charter Academy,33.4,4.76,,,1,,4.01,,,2.38,,8.56,2.6,,1,2.81,1.5,,,,,,,
81911,WSC Academy,6,,,1,,,1.01,,0.99,1,1,,2,,,,,,,,,,,
81912,South Pointe Scholars Charter Academy,30.6,7.2,,,1,,4.01,,,2.38,,4.61,3.5,,0.1,2.5,1.3,,,,,,,
82000,Wayne RESA,,17.41,13.74,,,2.98,19.19,2.47,75.54,36.88,,80.86,,,,,,,,,1.2,,,
82010,Detroit City School District,2285,519,,99,2,12,96.3,15,422.23,371.72,100,1268,330,382,106.4,561,180,94,41,,71,,,1
82020,Allen Park Public Schools,153.2,16.2,0.3,5,4,,3,3.7,7,17.3,25.5,62.6,,18.5,4,21.5,5,1,1,,1.6,,,2.5
82030,Dearborn City School District,994.79,35.45,,21.8,8.9,9,20.5,7,79.5,118.48,28.13,457.23,103.3,31.45,31,87.36,59.2,20.4,1,,5,,,3.6
82040,Dearborn Heights School District #7,110.6,15,2,5,3,,2,2.16,10,11.07,5,39.57,10,,3,5,2,,1.3,,3.5,,,1
82045,Melvindale-North Allen Park Schools,115.34,10.67,1,2,,,2,1.96,9.36,18.32,7.11,54.51,7.72,2.28,2,,4,1,,,1.5,,,
82050,Garden City Public Schools,203.31,6.47,2,7.25,2,,6,4,18.01,39.26,10.43,111.4,91.42,5,14.6,108.7,18.85,,0.9,,1,,,
82055,Grosse Pointe Public Schools,408.84,37.1,12.11,16,7.59,,10,2.4,25,53.86,22.5,136.24,53.7,16.45,19.2,75.17,23.4,0.8,1,,4,,,
82060,"Hamtramck, School District of the City of",154.19,25.46,2,2,2,,2.02,1.5,14.85,35.82,5.56,62.01,9.86,3.14,3,7.5,5.99,,0.66,,3,,,2
82070,Highland Park City Schools,,,,,,,0.05,,0.95,,,,,,,,,,,,,,,
82090,"Lincoln Park, School District of the City of",195.6,8.24,,6,1,0.11,3,4.05,13,27,0.4,68.08,28,22,14.5,33,14,10.99,2,,4,,,1
82095,Livonia Public Schools School District,607.91,19.31,2,25,21,1.9,12,4.58,50.15,91.43,16.68,363.54,127.4,12.1,39.3,170.7,26.1,30.5,20.1,,7,,,0.6
82100,Plymouth-Canton Community Schools,772.15,33.95,,30.2,23,14.45,13,12,56.85,114.8,66.93,329.59,81.3,25.4,28,153.85,21.31,11.7,11.4,,8.95,,,2
82110,"Redford Union Schools, District No. 1",93.1,17.7,0.2,4,,,3,1,8,23.22,6,38.76,5.2,37.6,14.33,47,15.3,2,,,3,,,
