DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
11200,New Buffalo Area Schools,50.8,0.7,2,3,,0.85,4,2,4.6,7.95,3.5,32.65,4.4,,1,1.5,,,1,,,,,
11210,Brandywine Community Schools,61.26,18.65,,2.66,,,1.5,2.34,5.5,9.68,1.6,37.89,7.5,,2,2,,,2.85,,3,,,
11240,Berrien Springs Public Schools,93.39,20.75,2,3,,,3.1,1,10.2,15.25,7.15,52.56,8.66,4.67,4.01,8.7,1,1.5,1,,,,,0.3
11250,Eau Claire Public Schools,66.82,30.05,,0.8,,,4,,,9.25,4.45,30.53,2.72,,,,1,,,,2.66,,,2
11300,Niles Community Schools,160.53,43.94,2,3,,,1,3.48,14.5,24.7,5.25,131.34,18.82,19.18,8.77,28.64,3,6.77,3,,5.5,,,2
11310,Buchanan Community Schools,72.44,10.14,0.92,3,1,,2.5,1,6.39,10.5,11,33.06,4.5,3,2,8.1,,,2.5,,5,,,
11320,Watervliet School District,62.51,15,1.11,3,,,2,1,6,24,2.5,45.79,5.14,4.78,,4,,,,,1.81,,,1
11330,Coloma Community Schools,85.03,13.2,1.7,2.1,,,3,,6.6,15.35,3.2,40.9,5.04,7.83,2,6,3,1,6,,3,,,
11340,Bridgman Public Schools,52.74,,,2,1,,2,,4,7.5,13.25,31.88,7,1,1,,,,,,2,,,
11670,Hagar Township S/D #6,4.5,1.25,,,,,0.5,,,0.25,,,,,0.2,,,,,,1,,,
11830,Sodus Township S/D #5,4,3.5,,,,,1,,0,,0.5,,0.5,,,,,,,,,,,
11901,Countryside Academy,27.2,6.6,,1,,,1,1,2,3.4,0.4,3.7,1.8,,,0.6,,0.8,,,,,,
11903,Benton Harbor Charter School,22,7,,,,1,0.2,,3,3,2,8.5,1,,,,,,,,,,,
11904,Mildred C. Wells Preparatory Academy,8.5,0.75,,,,,0.01,,0.49,1.1,,2.16,1,,,1,1,,,,,,,
11905,Dream Academy,9,4.98,,,,,0.01,,0.99,1,3,7.84,,,0.4,,,,,,,,,
12000,Branch ISD,8.2,31.39,2,2,,,4.99,2,6.45,18.46,1.75,40.32,24.6,20.4,6.39,43,5,9,16,,1,,,0.84
12010,Coldwater Community Schools,146.72,11.72,1,4.8,1,0.88,2.52,,12.22,19.08,13.26,41.36,,,,,3,,,,0.59,,,
12020,Bronson Community School District,54.84,16.61,2,1,,,2.5,,3.66,9,3.24,31.2,,,,,,,,,,,,
12040,Quincy Community Schools,59.5,9.79,,2,,,3,1,4,6.72,2.95,23.43,,,,,,,,,2.5,,,1
12901,Pansophia Academy,15,5.26,,,,,0.2,,1,2,1.5,10.19,2,,,,,,,,,,,1
13000,Calhoun ISD,4,10.62,12,2,,,15.95,4,34.55,43,3.73,24.81,12.5,25.5,56.93,67.01,53.2,12.1,19.56,,3,,,
13010,Albion Public Schools,41.4,13,,,,,2,1,4,4,2,4.69,9,3,,6,7,,,,,,,
13020,Battle Creek Public Schools,279.13,21.15,,5,,,9.01,1.76,29.34,37.59,20.46,144.65,43.5,3,2.5,25,,5,,,4.04,,,1
13050,Athens Area Schools,29,5,,1,,,1,1.33,2.05,3.5,2,14.8,3,,,4,1,,,,0.95,,,
13070,Harper Creek Community Schools,131.25,20.12,2,4.5,1,,3.04,4,9.52,10.09,3,45.29,12.5,5.25,1,22,1.5,,0.25,,3,,,
13080,Homer Community School District,53.05,9.62,,,0.17,1.93,0.95,1,3.05,5.63,0.89,23.98,3.5,3.33,,8,2,,,,2,,,2.6
13090,Lakeview Sch. District (Calhoun),191.65,30.54,2.09,6.8,1,,2.9,2.01,11,24.7,16.2,60.06,19.67,0.33,,16.99,0.75,,,,3,,,3.6
13095,Mar Lee School District,19.2,3,,,,,1.9,,1.1,2,1.75,4.75,,,,2.75,,,,,,,,1
13110,Marshall Public Schools,114.5,7.5,3,5,2,3.5,5,3,6,15,1,44.38,11.6,1.8,1,9.5,,4,,,,,,1
13120,Pennfield Schools,98.02,9.5,4,5,,1.5,0.95,,8.05,12.1,15.62,47.9,4.5,5.5,,4.88,,2.4,1,,1,,,
13130,Tekonsha Community Schools,15.41,9.29,,0.83,,0.75,1,0,0.05,2.5,0.25,13.04,1,,,1,,,,,,,,
13135,Union City Community Schools,50.16,20.5,2,3,,3,3.5,,3.01,8.1,,30.2,7.84,2,,10,,,,,1.49,,,
13901,Arbor Academy,23.5,0.8,0.2,,,,0.91,,1,2,0.2,2.2,,,,,,,,,,,,
13902,Endeavor Charter Academy,33.01,6.4,,,1,,3.02,,,2.47,,5.83,2,,,0.81,0.1,,,,,,,
13903,Marshall Academy,14.54,0.2,,,,,0,,0,1,1.94,2.25,1.72,0.28,,,,0.5,,,,,,1
13904,Battle Creek Area Learning Center,8.84,2,,1,,,,,,1.05,,0.97,1.75,,,1,,,,,0.95,,,0.05
14000,Lewis Cass ISD,1,11,0.5,,,,5,1.1,2.6,4.11,2.69,51.85,10,1,10,21.5,14,2,,,2.82,,2,
14010,Cassopolis Public Schools,49.3,12,,1,1,,7.05,2,,7.21,9.5,35.36,4.6,,,1,,,1,,1.05,,,
